epoch	time	lr	train loss	train acc	testloss	test acc
123	27.3	0.0001	0.125	75.1	0.393	86.2
124	30.5	0.0001	0.125	75.1	0.391	86.1
125	26.9	0.0001	0.125	75.1	0.393	85.9
126	28.1	0.0001	0.125	75.0	0.391	86.4
127	27.0	0.0001	0.125	75.1	0.39	86.0
128	27.0	0.0001	0.125	75.1	0.394	86.1
129	27.0	0.0001	0.125	75.1	0.393	86.2
130	26.7	0.0001	0.125	75.2	0.393	86.1
131	27.1	0.0001	0.125	75.1	0.39	86.0
132	29.2	0.0001	0.125	75.1	0.39	86.2
133	31.5	0.0001	0.125	75.1	0.392	86.2
134	27.1	0.0001	0.125	75.1	0.39	86.3
135	31.6	0.0001	0.125	75.1	0.393	86.0
136	28.8	0.0001	0.125	75.2	0.391	86.3
137	33.4	0.0001	0.125	75.0	0.39	86.3
138	26.6	0.0001	0.125	75.1	0.393	86.0
139	26.8	0.0001	0.125	75.0	0.393	86.0
140	31.1	0.0001	0.125	75.2	0.392	86.2
141	28.8	0.0001	0.125	75.1	0.392	86.3
142	33.0	0.0001	0.125	75.1	0.388	86.4
143	31.0	0.0001	0.125	75.1	0.391	86.1
144	30.8	0.0001	0.125	75.1	0.39	86.2
145	28.5	0.0001	0.125	75.1	0.392	86.3
146	29.8	0.0001	0.125	75.1	0.39	86.2
147	30.0	0.0001	0.125	75.1	0.392	86.1
148	28.2	0.0001	0.125	75.0	0.391	86.0
149	28.5	0.0001	0.125	75.2	0.385	86.5
