epoch	time	lr	train loss	train acc	testloss	test acc
122	21.8	0.001	0.919	73.5	2.27	49.5
123	21.8	0.001	0.915	73.5	2.25	50.1
124	22.0	0.001	0.917	73.6	2.27	49.4
125	21.8	0.001	0.917	73.5	2.26	49.5
126	21.9	0.001	0.912	73.6	2.27	50.2
127	21.9	0.001	0.911	73.9	2.26	50.0
128	21.8	0.001	0.91	73.7	2.26	49.7
129	21.8	0.001	0.909	73.8	2.25	50.1
130	21.7	0.001	0.913	73.6	2.27	49.5
131	21.7	0.001	0.906	73.9	2.28	49.4
132	21.7	0.001	0.91	73.8	2.28	49.8
133	21.7	0.001	0.909	73.6	2.25	49.8
134	21.7	0.001	0.905	73.9	2.29	49.3
135	21.8	0.001	0.9	74.1	2.29	48.9
136	21.7	0.001	0.905	73.7	2.29	49.3
137	21.8	0.001	0.899	74.0	2.27	49.9
138	21.7	0.001	0.894	74.2	2.3	49.5
139	21.7	0.001	0.901	74.2	2.29	49.7
140	21.7	0.001	0.892	74.3	2.28	50.0
141	21.7	0.001	0.89	74.3	2.29	50.1
142	21.7	0.001	0.891	74.0	2.32	49.2
143	21.7	0.001	0.892	74.0	2.31	49.6
144	21.8	0.001	0.889	74.1	2.31	49.3
145	21.8	0.001	0.889	74.1	2.3	49.7
146	21.7	0.001	0.889	74.1	2.3	49.1
147	21.8	0.001	0.885	74.2	2.31	49.6
148	21.7	0.001	0.882	74.6	2.28	49.5
149	21.8	0.001	0.888	74.2	2.29	49.2
