epoch	time	lr	train loss	train acc	testloss	test acc
122	39.7	0.001	2.79	16.3	6.46	9.12
123	39.6	0.001	2.79	16.4	6.57	8.85
124	39.7	0.001	2.78	16.3	6.6	9.05
125	39.6	0.001	2.78	16.3	6.65	9.18
126	39.6	0.001	2.78	16.4	6.36	9.45
127	39.6	0.001	2.77	16.4	6.38	9.53
128	39.6	0.001	2.78	16.4	6.59	9.36
129	39.7	0.001	2.77	16.4	6.59	8.96
130	39.7	0.001	2.77	16.3	6.47	9.11
131	39.6	0.001	2.76	16.5	6.52	9.52
132	39.6	0.001	2.76	16.4	6.5	9.02
133	39.6	0.001	2.76	16.4	6.56	8.92
134	39.6	0.001	2.75	16.7	6.44	9.31
135	39.6	0.001	2.76	16.5	6.55	9.21
136	39.8	0.001	2.75	16.5	6.51	8.75
137	39.6	0.001	2.74	16.6	6.62	9.49
138	39.6	0.001	2.74	16.5	6.47	9.02
139	39.6	0.001	2.74	16.6	6.45	9.39
140	39.8	0.001	2.74	16.6	6.58	8.72
141	39.7	0.001	2.74	16.7	6.77	8.92
142	39.6	0.001	2.73	16.7	6.53	9.2
143	39.6	0.001	2.73	16.7	6.62	9.0
144	39.6	0.001	2.72	16.7	6.54	8.72
145	39.6	0.001	2.71	16.8	6.83	8.82
146	39.6	0.001	2.72	16.8	6.64	8.99
147	39.6	0.001	2.71	16.6	6.49	9.2
148	39.6	0.001	2.71	16.7	6.62	9.18
149	39.7	0.001	2.71	16.7	6.61	9.13
